V1;V2;V3;V4;V5;V6;V7;V8;V9;V10;V11;V12;V13;V14
1;14;22;4;14;19;3;10;14;17;17;10;22;18
1;24;3;18;12;24;7;8;17;23;18;12;17;10
1;4;12;5;8;13;14;21;20;13;2;14;10;3
1;9;10;8;13;22;9;25;11;12;23;9;13;7
1;18;8;25;24;1;15;13;4;19;22;14;3;14
1;9;19;1;3;4;3;17;12;25;25;3;8;14
1;13;9;24;14;3;24;6;8;20;4;2;6;12
1;7;13;1;13;5;9;21;5;16;12;2;19;15
1;7;15;12;18;20;18;13;24;16;4;18;3;22
1;25;23;1;11;24;13;20;4;7;18;21;6;20
1;3;14;14;22;21;6;3;14;7;25;9;16;19
2;7;1;15;11;22;5;20;18;5;3;3;1;16
2;2;12;22;7;21;10;3;16;12;15;24;14;18
2;23;7;16;14;25;3;7;18;18;12;15;7;23
2;19;4;11;1;6;16;17;14;1;7;12;6;12
2;9;7;21;5;16;22;17;13;3;15;20;25;24
2;24;14;3;15;10;6;21;18;21;16;14;7;10
2;1;23;25;19;15;18;3;20;19;18;10;1;21
2;25;24;22;3;21;4;22;23;10;15;25;16;25
2;19;16;1;15;18;24;16;12;10;9;7;10;18
2;22;1;3;25;20;16;15;5;11;19;12;4;12
2;3;22;13;25;15;13;17;23;19;18;5;5;24
2;22;24;22;21;18;24;4;10;2;1;10;13;16
2;11;16;7;13;6;23;6;12;15;6;4;9;19
2;4;5;24;16;19;20;18;24;11;18;24;21;12
2;8;21;25;20;8;9;12;14;14;25;17;5;15
2;6;14;11;3;8;14;9;2;15;20;15;9;24
2;6;14;16;13;5;14;9;13;2;23;9;10;1
2;7;16;12;20;7;17;11;13;9;8;25;6;16
2;6;23;20;21;20;15;21;15;17;22;6;5;16
2;22;1;25;17;24;22;20;17;6;20;12;16;16
2;16;1;4;16;10;8;4;21;13;3;13;16;20
2;4;8;12;21;21;18;3;25;8;23;21;10;19
2;9;18;14;5;22;4;5;7;13;10;17;18;9
2;13;10;16;13;7;2;23;11;6;15;7;5;16
2;17;15;14;6;9;22;7;11;9;1;9;8;2
2;25;15;25;20;17;12;3;25;25;19;11;4;17
2;13;11;16;25;20;1;17;12;5;11;5;22;6
2;23;3;17;7;19;23;1;4;2;4;14;23;19
2;5;10;21;12;23;7;20;1;4;13;7;3;22
2;21;20;12;11;11;23;17;23;15;9;6;6;24
2;23;22;24;2;21;18;8;20;7;4;21;8;6
2;16;7;18;8;12;1;10;17;13;24;2;17;12
2;23;23;22;10;19;13;22;2;19;23;11;1;7
2;10;12;11;9;16;11;3;12;5;24;14;9;1
2;14;5;18;2;18;2;22;16;12;7;23;18;16
2;6;13;8;23;1;13;5;5;23;22;15;25;23
2;14;1;25;8;16;25;3;4;17;8;22;13;3
3;24;16;22;25;5;17;17;23;14;3;5;25;14
3;20;9;10;20;2;9;13;20;12;12;19;10;10
3;18;23;18;23;18;8;21;13;6;19;18;25;12
3;23;20;6;9;1;1;20;1;16;22;14;25;11
3;14;2;2;10;14;8;7;22;25;7;23;10;22
3;2;6;6;3;3;18;11;6;5;7;21;20;24
3;20;14;2;4;25;25;11;1;22;5;4;20;20
3;21;23;16;18;25;8;19;3;24;16;8;14;24
3;10;8;20;6;24;4;14;23;11;8;11;4;1
3;6;25;1;4;17;8;14;17;1;8;20;5;18
3;7;19;20;13;6;4;1;24;16;9;12;19;10
3;18;17;13;8;4;12;18;19;11;11;5;6;23
3;8;11;8;2;23;16;25;12;22;6;9;16;5
3;13;2;16;10;3;19;2;4;6;13;19;10;25
3;19;5;18;19;19;15;4;21;6;21;6;16;1
3;19;22;25;15;19;22;13;21;10;12;19;2;2
3;17;25;3;19;9;8;22;17;17;10;2;16;12
3;24;23;13;15;14;17;23;18;8;4;22;18;4
3;13;9;2;16;20;9;7;2;12;14;21;16;16
3;4;2;20;3;2;20;15;8;14;4;12;21;16
3;15;12;25;16;24;23;14;6;24;8;14;10;14
3;10;21;22;4;21;11;24;4;14;2;17;9;14
3;18;24;10;21;21;18;4;8;10;7;15;18;10
3;17;22;12;4;12;11;21;19;7;25;9;2;22
3;20;16;23;25;4;11;3;25;15;6;12;12;25
3;11;5;22;20;20;8;11;25;24;22;24;24;2
3;23;22;15;13;1;22;8;8;4;5;16;5;16
3;15;7;14;6;4;1;23;9;8;13;14;16;16
3;6;14;6;23;20;24;7;15;5;1;14;25;11
3;23;17;4;20;6;21;1;10;8;18;16;25;12
3;18;7;20;3;6;21;10;1;3;24;2;8;22
3;13;2;11;17;1;9;24;8;13;22;15;6;3
3;14;23;5;13;3;2;24;21;13;13;1;10;6
3;24;19;12;4;3;22;12;5;19;25;10;8;7
3;14;9;15;18;13;9;22;10;12;3;5;14;16
3;20;17;25;16;18;19;24;18;18;21;25;9;8
3;21;9;7;7;21;8;15;6;6;19;3;22;11
3;11;21;8;17;7;4;8;15;16;9;22;15;18
3;16;11;24;18;5;21;7;1;22;12;4;15;5
3;2;18;23;5;10;25;8;8;12;19;15;1;1
3;1;12;9;3;25;5;1;15;16;1;24;11;7
3;16;5;1;8;2;13;1;1;5;20;9;12;4
3;2;11;12;16;15;4;16;17;11;17;17;16;3
3;24;14;6;9;3;6;21;2;17;24;5;10;13
3;13;22;4;4;3;2;4;13;8;15;11;1;3
3;4;24;2;21;3;5;3;21;24;18;25;1;4
3;16;13;25;8;4;15;5;23;5;19;3;20;8
3;11;4;15;16;17;12;4;6;18;14;1;15;10
3;9;18;4;12;10;14;1;24;18;17;17;21;11
4;11;17;11;16;15;18;7;17;6;14;4;4;9
4;18;25;8;4;13;10;22;9;10;12;20;25;9
4;20;12;2;18;2;9;14;23;7;14;24;3;18
4;14;3;13;15;8;2;23;8;9;12;14;4;13
4;17;11;18;23;9;10;6;25;14;8;10;19;13
4;11;4;24;3;4;15;19;22;5;10;8;8;7
4;3;4;18;4;20;17;9;22;14;19;20;1;18
4;13;10;23;8;1;17;7;24;3;24;25;22;6
4;12;20;3;2;5;20;4;20;7;5;23;15;7
4;23;6;25;18;14;1;11;8;20;14;24;14;19
4;2;17;2;2;25;14;16;8;17;12;3;15;12
4;9;7;5;24;25;14;2;24;9;16;20;21;1
4;12;1;2;4;20;1;15;20;4;19;10;24;12
4;17;6;2;8;12;25;25;20;20;12;5;19;5
4;25;2;7;10;12;24;5;23;4;10;22;20;11
4;11;17;7;3;21;1;8;12;18;1;22;10;7
4;8;17;20;3;13;5;6;11;11;6;10;12;25
4;13;9;2;17;9;14;13;10;4;21;6;20;20
4;21;10;10;16;1;24;10;5;20;19;22;2;12
4;7;24;25;19;2;18;2;5;22;19;3;19;24
4;7;18;19;3;9;15;22;5;12;1;25;19;18
4;19;17;13;22;6;21;11;14;11;8;2;3;23
4;23;3;3;14;21;5;6;7;15;6;23;20;25
4;4;23;5;11;4;22;17;18;21;17;2;1;10
4;23;14;4;9;15;1;25;1;5;15;16;8;20
4;19;25;14;9;3;14;18;22;12;17;21;2;18
4;14;17;6;1;25;14;8;15;2;13;25;15;4
4;11;22;25;4;9;3;22;19;14;2;23;8;21
4;12;12;11;8;5;9;10;11;14;19;10;22;12
4;5;8;14;19;13;17;3;2;25;2;24;2;7
4;21;13;7;14;2;11;1;20;6;8;3;14;8
4;24;14;3;12;14;12;15;15;3;6;16;10;1
4;25;25;4;15;19;2;8;20;1;10;3;14;9
4;11;20;21;5;7;5;9;4;16;15;20;4;25
4;3;4;17;4;14;6;2;9;21;4;20;9;1
4;3;11;13;15;8;5;13;20;9;15;23;6;7
4;4;13;12;22;16;13;9;14;9;23;23;3;2
4;7;20;13;23;23;23;22;25;1;13;2;8;18
4;3;12;5;18;23;11;12;5;22;20;22;6;11
4;21;19;23;7;18;8;1;20;25;12;12;11;4
4;2;23;1;3;21;25;4;9;6;6;20;20;6
4;15;12;24;4;16;3;11;9;10;25;18;7;11
4;13;6;11;23;13;17;4;4;24;21;12;11;2
4;11;10;14;19;16;19;19;10;7;18;18;5;24
4;14;10;8;2;19;22;12;15;2;19;6;14;18
